self.updates = 40000
buffer_size = 2000
self.replay_start = 100   # train을 위한, experience_replay의 최소 크기.
self.replay_ratio= 4 # on-policy로 data생성 --> train 후, replay-buffer에 있는 data로 몇번 train할 것인가.


self.n_workers = 8
self.worker_steps = 128  # 각 episode를 worker_steps만큼씩 만들어 data를 생성할 것인지 결정.



10 100 mean reard / episode-length: / -4.011 / 114.011 elapsed: 22 sec
20 100 mean reard / episode-length: / -3.910 / 117.020 elapsed: 44 sec
30 100 mean reard / episode-length: / -3.750 / 123.950 elapsed: 68 sec
40 100 mean reard / episode-length: / -3.710 / 128.120 elapsed: 90 sec
50 100 mean reard / episode-length: / -3.660 / 125.050 elapsed: 112 sec
60 100 mean reard / episode-length: / -2.760 / 158.740 elapsed: 133 sec
70 100 mean reard / episode-length: / -2.230 / 176.670 elapsed: 153 sec
80 100 mean reard / episode-length: / -2.120 / 178.410 elapsed: 173 sec
90 100 mean reard / episode-length: / -1.650 / 191.660 elapsed: 193 sec
100 100 mean reard / episode-length: / -1.390 / 201.900 elapsed: 213 sec
110 100 mean reard / episode-length: / -1.240 / 208.050 elapsed: 232 sec
120 100 mean reard / episode-length: / -1.180 / 207.830 elapsed: 251 sec
130 100 mean reard / episode-length: / -0.920 / 216.700 elapsed: 270 sec
140 100 mean reard / episode-length: / -0.290 / 241.740 elapsed: 288 sec
150 100 mean reard / episode-length: / -0.110 / 245.400 elapsed: 306 sec
160 100 mean reard / episode-length: / 0.110 / 254.850 elapsed: 324 sec
170 100 mean reard / episode-length: / 0.530 / 273.890 elapsed: 342 sec
180 100 mean reard / episode-length: / 0.920 / 284.650 elapsed: 360 sec
190 100 mean reard / episode-length: / 0.780 / 277.150 elapsed: 378 sec
200 100 mean reard / episode-length: / 1.020 / 284.480 elapsed: 396 sec
210 100 mean reard / episode-length: / 1.120 / 290.700 elapsed: 413 sec
220 100 mean reard / episode-length: / 1.650 / 309.590 elapsed: 430 sec
230 100 mean reard / episode-length: / 1.670 / 308.440 elapsed: 448 sec
240 100 mean reard / episode-length: / 1.980 / 317.760 elapsed: 464 sec
250 100 mean reard / episode-length: / 2.010 / 319.930 elapsed: 482 sec
260 100 mean reard / episode-length: / 2.750 / 349.720 elapsed: 500 sec
270 100 mean reard / episode-length: / 3.110 / 362.660 elapsed: 516 sec
280 100 mean reard / episode-length: / 3.970 / 392.680 elapsed: 533 sec
290 100 mean reard / episode-length: / 4.410 / 407.900 elapsed: 549 sec
300 100 mean reard / episode-length: / 4.710 / 417.060 elapsed: 566 sec
310 100 mean reard / episode-length: / 4.720 / 419.360 elapsed: 582 sec
320 100 mean reard / episode-length: / 4.550 / 410.990 elapsed: 600 sec
330 100 mean reard / episode-length: / 4.920 / 423.560 elapsed: 616 sec
340 100 mean reard / episode-length: / 4.940 / 425.100 elapsed: 633 sec
350 100 mean reard / episode-length: / 5.090 / 427.610 elapsed: 650 sec
360 100 mean reard / episode-length: / 5.340 / 437.590 elapsed: 667 sec
370 100 mean reard / episode-length: / 5.800 / 451.440 elapsed: 683 sec
380 100 mean reard / episode-length: / 6.200 / 464.340 elapsed: 699 sec
390 100 mean reard / episode-length: / 6.870 / 484.900 elapsed: 716 sec
400 100 mean reard / episode-length: / 7.470 / 506.590 elapsed: 733 sec
410 100 mean reard / episode-length: / 7.500 / 506.360 elapsed: 749 sec
420 100 mean reard / episode-length: / 7.970 / 522.730 elapsed: 764 sec
430 100 mean reard / episode-length: / 7.850 / 519.260 elapsed: 781 sec
440 100 mean reard / episode-length: / 8.070 / 525.340 elapsed: 796 sec
450 100 mean reard / episode-length: / 8.370 / 532.940 elapsed: 813 sec
460 100 mean reard / episode-length: / 8.740 / 545.410 elapsed: 829 sec
470 100 mean reard / episode-length: / 8.950 / 554.750 elapsed: 844 sec
480 100 mean reard / episode-length: / 8.840 / 549.230 elapsed: 860 sec
490 100 mean reard / episode-length: / 9.060 / 553.610 elapsed: 876 sec
500 100 mean reard / episode-length: / 9.150 / 557.510 elapsed: 892 sec
510 100 mean reard / episode-length: / 9.180 / 558.930 elapsed: 911 sec
520 100 mean reard / episode-length: / 9.450 / 557.600 elapsed: 926 sec
530 100 mean reard / episode-length: / 9.420 / 556.600 elapsed: 942 sec
540 100 mean reard / episode-length: / 9.660 / 563.470 elapsed: 958 sec
550 100 mean reard / episode-length: / 9.830 / 571.540 elapsed: 974 sec
560 100 mean reard / episode-length: / 10.000 / 578.930 elapsed: 990 sec
570 100 mean reard / episode-length: / 10.150 / 583.970 elapsed: 1006 sec
580 100 mean reard / episode-length: / 10.040 / 582.520 elapsed: 1023 sec
590 100 mean reard / episode-length: / 10.110 / 583.280 elapsed: 1040 sec
600 100 mean reard / episode-length: / 10.320 / 588.570 elapsed: 1056 sec
610 100 mean reard / episode-length: / 10.730 / 599.710 elapsed: 1072 sec
620 100 mean reard / episode-length: / 11.030 / 606.250 elapsed: 1088 sec
630 100 mean reard / episode-length: / 10.980 / 604.860 elapsed: 1104 sec
640 100 mean reard / episode-length: / 11.320 / 613.940 elapsed: 1120 sec
650 100 mean reard / episode-length: / 11.490 / 622.740 elapsed: 1137 sec
660 100 mean reard / episode-length: / 11.750 / 630.760 elapsed: 1153 sec
670 100 mean reard / episode-length: / 11.800 / 634.340 elapsed: 1170 sec
680 100 mean reard / episode-length: / 11.710 / 636.180 elapsed: 1187 sec
690 100 mean reard / episode-length: / 11.790 / 636.270 elapsed: 1202 sec
700 100 mean reard / episode-length: / 11.690 / 629.190 elapsed: 1219 sec
710 100 mean reard / episode-length: / 11.700 / 628.360 elapsed: 1235 sec
720 100 mean reard / episode-length: / 11.730 / 629.980 elapsed: 1251 sec
730 100 mean reard / episode-length: / 11.660 / 627.070 elapsed: 1267 sec
740 100 mean reard / episode-length: / 11.910 / 633.110 elapsed: 1282 sec
750 100 mean reard / episode-length: / 12.290 / 644.810 elapsed: 1298 sec
760 100 mean reard / episode-length: / 12.530 / 654.140 elapsed: 1314 sec
770 100 mean reard / episode-length: / 12.650 / 658.990 elapsed: 1330 sec
780 100 mean reard / episode-length: / 12.750 / 660.760 elapsed: 1345 sec
790 100 mean reard / episode-length: / 12.920 / 664.790 elapsed: 1361 sec
800 100 mean reard / episode-length: / 12.920 / 663.820 elapsed: 1377 sec
810 100 mean reard / episode-length: / 12.770 / 660.490 elapsed: 1393 sec
820 100 mean reard / episode-length: / 12.810 / 661.950 elapsed: 1408 sec
830 100 mean reard / episode-length: / 12.960 / 669.180 elapsed: 1424 sec
840 100 mean reard / episode-length: / 13.160 / 674.840 elapsed: 1440 sec
850 100 mean reard / episode-length: / 13.230 / 674.130 elapsed: 1456 sec
860 100 mean reard / episode-length: / 13.210 / 675.040 elapsed: 1473 sec
870 100 mean reard / episode-length: / 13.370 / 677.170 elapsed: 1488 sec
880 100 mean reard / episode-length: / 13.230 / 672.780 elapsed: 1504 sec
890 100 mean reard / episode-length: / 13.190 / 672.190 elapsed: 1520 sec
900 100 mean reard / episode-length: / 13.400 / 678.710 elapsed: 1536 sec
910 100 mean reard / episode-length: / 13.590 / 685.400 elapsed: 1551 sec
920 100 mean reard / episode-length: / 13.470 / 680.810 elapsed: 1567 sec
930 100 mean reard / episode-length: / 13.770 / 692.650 elapsed: 1582 sec
940 100 mean reard / episode-length: / 14.180 / 705.660 elapsed: 1597 sec
950 100 mean reard / episode-length: / 14.420 / 711.930 elapsed: 1613 sec
960 100 mean reard / episode-length: / 14.140 / 697.880 elapsed: 1629 sec
970 100 mean reard / episode-length: / 14.060 / 695.060 elapsed: 1644 sec
980 100 mean reard / episode-length: / 13.900 / 691.600 elapsed: 1659 sec
